consumers,consumerName,Consumer.Sp.stage,consumerSP,consumerStage,resources,resourceName,Resource.Sp.stage,resourceSP,resourceStage,Consumer.Interaction.Code,Feeding.Site,confidence,justification,Ref.ID,localities,version
292,Paralichthys.californicus.245.1,245.1,245,1,220,Holmesimysis.sculpta.180.1,180.1,180,1,1,3,2,3,711; 187; 432; 407; 406,Central Oregon,V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,224,Siriella.pacifica.184.1,184.1,184,1,1,3,2,4,711; 187; 432; 407; 406,Central Oregon,V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,240,Lytechinus.anamesus.200.1,200.1,200,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,242,Strongylocentrotus.purpuratus.201.1,201.1,201,1,1,3,1,3,219,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,242,Strongylocentrotus.purpuratus.201.1,201.1,201,1,1,3,1,3,542,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,243,Strongylocentrotus.purpuratus.201.4,201.4,201,4,1,3,1,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,244,Mesocentrotus.franciscanus.202.1,202.1,202,1,1,3,1,3,677,"Sonoma County, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,244,Mesocentrotus.franciscanus.202.1,202.1,202,1,1,3,1,3,542,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,245,Mesocentrotus.franciscanus.202.4,202.4,202,4,1,3,1,1,720,"Bamfield Marine Science Center, Bamfield, British Columbia, Canada",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,258,Atherinops.affinis.215.1,215.1,215,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,259,Aulorhynchus.flavidus.216.1,216.1,216,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,264,Citharichthys.stigmaeus.221.1,221.1,221,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,265,Cymatogaster.aggregata.222.1,222.1,222,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,276,Hyperprosopon.argenteum.232.1,232.1,232,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,281,Leiocottus.hirundo.236.1,236.1,236,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,282,Lythrypnus.dalli.237.1,237.1,237,1,1,3,3,4,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,289,Paralabrax.nebulifer.243.1,243.1,243,1,1,3,4,4,584,"Pacific Coast, USA",V19.readd
162,Cirolana.diminuta.128.1,128.1,128,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,3,937,"San Diego, CA, USA",V19.readd
165,Excorallana.truncata.131.1,131.1,131,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,4,4,937,"San Diego, CA, USA",V19.readd
174,Gnathia.stevensi.139.4,139.4,139,4,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,4,472; 487,"Santa Monica Bay, CA, USA",V19.readd
191,Vargula.tsujii.151.1,151.1,151,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,3,937,"San Diego, CA, USA",V19.readd
249,Torpedo.californica.206.1,206.1,206,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
253,Notorynchus.cepedianus.210.1,210.1,210,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,3,4,258; 584,"Pacific Coast, USA",V19.readd
254,Squatina.californica.211.1,211.1,211,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
323,Stereolepis.gigas.265.1,265.1,265,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,3,4,584,"Pacific Coast, USA",V19.readd
469,Tursiops.truncatus.410.1,410.1,410,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,1,3,369,"San Diego, CA, USA",V19.readd
471,Phoca.vitulina.richardsi.412.1,412.1,412,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,2,3,756,"Elkhorn Slough, CA, USA",V19.readd
472,Zalophus.californianus.413.1,413.1,413,1,292,Paralichthys.californicus.245.1,245.1,245,1,1,3,3,3,584,"Pacific Coast, USA",V19.readd
558,Corynosoma.strumosum.497.4,497.4,497,4,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,1,3,585,NE Pacific,V19.readd
611,Callitetrarhynchus.sp..545.4,545.4,545,4,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,3,586,"Southern California, CA, USA",V19.readd
635,Lacistorhynchus.dollfusi.563.4,563.4,563,4,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,3,586,"Southern California, CA, USA",V19.readd
749,Metadena.magdalenae.664.1,664.1,664,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,3,3,35; 161,"Baja California, Mexico; Northern Pacific",V19.readd
769,Parahemiurus.merus.683.1,683.1,683,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,3,3,786; 161,Central American/Mexian Pacific coast,V19.readd
799,Stephanostomum.casum.711.1,711.1,711,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,3,311; 358,"Anaheim Bay, CA, USA; Pacific Coast of USA",V19.readd
800,Stephanostomum.dentatum.712.1,712.1,712,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,3,35; 606; 681; 161,"Baja California, Mexico; Southern and Central CA, USA",V19.readd
840,Opegaster.parapristipomatis.751.1,751.1,751,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,3,161,"Baja California, Mexico",V19.readd
858,Tubulovesicula.lindbergi.769.1,769.1,769,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,3,358; 161; 249; 586,"Anaheim Bay, CA, USA; Baja California, Mexico",V19.readd
906,Entobdella.hippoglossi.817.1,817.1,817,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,486; 586,"Santa Monica Bay, CA, USA; Central California, CA, USA",V19.readd
965,Hysterothylacium.aduncum.875.1,875.1,875,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,3,6,161,"Baja California, Mexico",V19.readd
979,"Anisakis.sp.(sp.A,simplex,sp.).886.5",886.5,886,5,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,3,161,Baja California; Central American/Mexian Pacific coast,V19.readd
996,Spirocamallanus.pereirai.903.1,903.1,903,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,1,3,161; 358; 724,"Goleta, CA, USA; Anaheim Bay, CA, USA; Baja California, Mexico",V19.readd
1003,Pseudoterranova.decipiens.908.5,908.5,908,5,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,6,586,"Southern California, CA, USA",V19.readd
1007,Philometra.spp..911.1,911.1,911,1,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,4,3,161,"Baja California, Mexico",V19.readd
1062,Bomolochus.sp.A(soleae).964.1,964.1,964,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,3,3,686,"Baja California, Mexico",V19.readd
1064,Acanthochondria.hoi.966.1,966.1,966,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,486; 402,"Santa Monica Bay, CA, USA",V19.readd
1066,Acanthochondria.soleae.968.1,968.1,968,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,739; 401,"Anaheim Bay, CA, USA",V19.readd
1067,Acanthochondria.sp..969.1,969.1,969,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,739; 401,"Anaheim Bay, CA, USA",V19.readd
1075,Auchenochondria.lobosa.977.1,977.1,977,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,240; 753,"Carlsbad, CA, USA",V19.readd
1080,Caligus.pectinatus.982.1,982.1,982,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,3,487,"Southern California Bight, CA, USA",V19.readd
1085,Chalimus(larvae).spp..987.4,987.4,987,4,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,486,"Santa Monica Bay, CA, USA",V19.readd
1114,Hamaticolax(Holobomolochus).prolixus.1016.1,1016.1,1016,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,396; 395; 401; 191; 486,"Anaheim Bay, CA, USA; Santa Monica Bay, CA, USA",V19.readd
1122,Lepeophtheirus.bifurcatus.1024.1,1024.1,1024,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,3,486; 770,"Anaheim Bay, CA, USA",V19.readd
1123,Lepeophtheirus.bifidus.1025.1,1025.1,1025,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,3,395; 770,"Anaheim Bay, CA, USA",V19.readd
1127,Lepeophtheirus.dissimulatus.1029.1,1029.1,1029,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,3,3,686,"Baja California, Mexico",V19.readd
1136,Lepeophtheirus.remiopsis.1038.1,1038.1,1038,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,3,487,"Southern California Bight, CA, USA",V19.readd
1141,Lepeophtheirus.spatha.1043.1,1043.1,1043,1,292,Paralichthys.californicus.245.1,245.1,245,1,3,3,2,3,241,"Santa Monica Bay, CA, USA",V19.readd
1154,Parabrachiella(Neobrachiella).robusta.1056.1,1056.1,1056,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,486,"Santa Monica Bay, CA, USA",V19.readd
1156,Parabrachiella.sp..1058.1,1058.1,1058,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,486; 795,"Santa Monica Bay, CA, USA",V19.readd
1164,Taeniacanthodes.haakeri.1066.1,1066.1,1066,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,586; 486,"Santa Monica Bay, CA, USA",V19.readd
1168,Trebius.latifurcatus.1070.1,1070.1,1070,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,4,3,586,"Southern California, CA, USA",V19.readd
1174,Elthusa(Lironeca).vulgaris.1076.1,1076.1,1076,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,586,"CA, USA",V19.readd
1176,Elthusa(Lironeca).sp..1078.1,1078.1,1078,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,358,"Anaheim Bay, CA, USA",V19.readd
1177,Braga.sp..1079.1,1079.1,1079,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,395,"Anaheim Bay, CA, USA",V19.readd
1216,Austrobdella.californiana.1118.1,1118.1,1118,1,292,Paralichthys.californicus.245.1,245.1,245,1,6,2,2,3,486,"Santa Monica Bay, CA, USA",V19.readd
1285,Contracaecum.bird.sp.complex.1175.5,1175.5,1175,5,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,2,6,161,Baja California; Central American/Mexian Pacific coast,V19.readd
1299,Phyllobothrium.riseri.577.4,577.4,577,4,292,Paralichthys.californicus.245.1,245.1,245,1,12,1,3,11,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,293,Phanerodon.furcatus.246.1,246.1,246,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,294,Pleuronichthys.coenosus.247.1,247.1,247,1,1,3,3,4,732,"Southern California, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,297,Rhinogobiops.nicholsii.250.1,250.1,250,1,1,3,3,4,584,"Pacific Coast, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,299,Scorpaenichthys.marmoratus.252.1,252.1,252,1,1,3,2,3,584,"Pacific Coast, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,324,Syngnathus.californiensis.266.1,266.1,266,1,1,3,3,10,584,"Pacific Coast, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,327,Crepidula.adunca.269.1,269.1,269,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,331,Lacuna.unifasciata.273.1,273.1,273,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,332,Megastraea.undosa.274.1,274.1,274,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,332,Megastraea.undosa.274.1,274.1,274,1,1,3,3,4,965,"CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,333,Megathura.crenulata.275.1,275.1,275,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,333,Megathura.crenulata.275.1,275.1,275,1,1,3,2,4,965,"CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,334,Norrisia.norrisi.276.1,276.1,276,1,1,3,2,4,383,"Central CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,335,Pomaulax.gibberosus.277.1,277.1,277,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,335,Pomaulax.gibberosus.277.1,277.1,277,1,1,3,3,4,965,"CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,336,Tegula.spp..278.1,278.1,278,1,1,3,1,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,336,Tegula.spp..278.1,278.1,278,1,1,3,1,3,542,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,339,Amphissa.columbiana.281.1,281.1,281,1,1,3,2,4,920,"Barkley Sound, British Columbia, Canada",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,340,Amphissa.versicolor.282.1,282.1,282,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,342,Barleeia.spp..284.1,284.1,284,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,344,Calliostoma.annulatum.286.1,286.1,286,1,1,3,1,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,347,Gibberula.subtrigona.289.1,289.1,289,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,350,Nassarina.penicillata.292.1,292.1,292,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,351,Tricolia.spp..293.1,293.1,293,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,356,Bulla.gouldiana.298.1,298.1,298,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,371,Serpulorbis.squamigerus.313.1,313.1,313,1,1,3,2,4,986,"Bird Rock, Santa Catalina Island, Channel Islands, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,372,Alia.carinata.314.1,314.1,314,1,1,3,1,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,373,Ceratostoma.nuttalli.315.1,315.1,315,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,374,Conus.californicus.316.1,316.1,316,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,375,Cypraea.spadicea.317.1,317.1,317,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,377,Maxwellia.gemma.319.1,319.1,319,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,378,Mitra.idae.320.1,320.1,320,1,1,3,4,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,379,Ocenebra.spp..321.1,321.1,321,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,380,Pseudomelatoma.torosa.322.1,322.1,322,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,381,Pteropurpura.festiva.323.1,323.1,323,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,382,Urosalpinx.cinerea.324.1,324.1,324,1,1,3,3,4,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,385,Cucumaria.salma.327.1,327.1,327,1,1,3,2,3,303,Marine,V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,386,Eupentacta.quinquesemita.328.1,328.1,328,1,1,3,2,3,303,Marine,V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,387,Lissothuria.nutriens.329.1,329.1,329,1,1,3,2,4,303,Marine,V19.readd
